dt_iso,temp_mean,temp_min_min,temp_max_max,pressure_mean,humidity_mean,wind_speed_mean,wind_deg_mean,clouds_all_mean,rain_1d
2013-04-01,28.357083333333335,25.9,31.0,1008.4250000000001,80.75,2.0970833333333334,109.58333333333333,21.666666666666668,0.0
2013-04-02,28.53,25.7,31.0,1007.8249999999999,79.45833333333333,2.355,98.33333333333333,23.041666666666668,0.0
2013-04-03,28.52625,25.8,31.0,1007.2916666666666,82.29166666666667,2.6141666666666667,126.66666666666667,28.333333333333332,0.0
2013-04-04,29.02916666666667,26.0,31.2,1006.8333333333334,79.29166666666667,2.1666666666666665,105.0,28.708333333333332,0.0
2013-04-05,29.346249999999998,27.0,32.0,1006.8000000000001,77.79166666666667,2.6566666666666667,85.0,26.666666666666668,0.0
2013-04-06,28.921666666666667,26.0,31.6,1006.1374999999999,81.58333333333333,2.9145833333333333,118.75,28.0,0.0
2013-04-07,28.5748,25.0,32.0,1006.544,81.84,3.318,189.6,36.2,2.1
2013-04-08,26.7624,24.0,29.0,1008.2080000000001,88.08,2.8624,208.4,39.6,40.0
2013-04-09,28.223333333333333,26.6,30.1,1008.3416666666667,83.54166666666667,1.8879166666666667,105.0,27.291666666666668,0.1
2013-04-10,27.76,25.0,30.0,1007.5124999999999,85.95833333333333,2.9791666666666665,133.33333333333334,39.166666666666664,1.3
2013-04-11,26.86125,25.0,30.0,1007.4375,88.125,2.5466666666666664,172.5,54.791666666666664,13.1
2013-04-12,28.05541666666667,25.9,30.0,1007.85,83.29166666666667,2.8891666666666667,144.16666666666666,25.0,0.0
2013-04-13,27.30875,24.9,30.0,1008.8208333333333,87.04166666666667,2.2691666666666666,83.75,39.666666666666664,2.0
2013-04-14,28.8575,27.0,31.1,1008.5708333333333,83.5,3.6,93.33333333333333,34.666666666666664,0.0
2013-04-15,28.843333333333334,27.0,31.0,1007.9583333333334,78.66666666666667,4.480833333333334,102.5,37.708333333333336,0.0
2013-04-16,28.914166666666663,27.0,31.0,1007.8041666666667,76.25,4.241666666666666,101.66666666666667,34.583333333333336,0.0
2013-04-17,28.8075,26.0,31.0,1007.4625,80.04166666666667,4.5216666666666665,85.41666666666667,36.25,0.0
2013-04-18,28.272916666666664,25.3,30.1,1008.2708333333334,80.95833333333333,3.3641666666666663,161.25,32.416666666666664,2.86
2013-04-19,27.404583333333335,25.0,30.0,1009.625,82.20833333333333,3.1300000000000003,154.16666666666666,36.666666666666664,3.0
2013-04-20,28.05541666666667,24.8,30.0,1009.7875,79.5,3.4495833333333334,99.58333333333333,31.25,0.0
2013-04-21,28.405,25.0,31.0,1008.875,78.54166666666667,3.642916666666667,95.0,25.416666666666668,0.0
2013-04-22,28.39923076923077,26.0,31.1,1009.5038461538461,81.6923076923077,2.79,183.07692307692307,34.03846153846154,7.3
2013-04-23,29.09,27.0,31.0,1010.3333333333334,81.16666666666667,4.414583333333334,94.58333333333333,35.208333333333336,7.0
2013-04-24,28.217916666666667,23.0,31.0,1010.6583333333333,75.66666666666667,3.705833333333333,94.16666666666667,22.291666666666668,0.0
2013-04-25,28.456666666666667,25.0,31.0,1010.9499999999999,75.33333333333333,3.2591666666666668,118.75,28.333333333333332,0.0
2013-04-26,27.838333333333335,23.0,31.0,1010.4875000000001,74.79166666666667,3.0862499999999997,85.0,27.083333333333332,0.0
2013-04-27,27.860416666666666,24.0,31.0,1010.2916666666666,76.70833333333333,3.6645833333333333,120.41666666666667,26.666666666666668,0.0
2013-04-28,28.383333333333336,25.0,31.0,1010.3791666666666,79.125,4.0929166666666665,94.16666666666667,24.958333333333332,0.0
2013-04-29,28.591250000000002,25.0,31.0,1010.5375,79.29166666666667,4.630833333333333,97.08333333333333,28.333333333333332,0.0
2013-04-30,28.419583333333335,26.0,30.3,1009.5041666666666,78.83333333333333,5.509166666666666,110.0,29.375,0.0
2013-05-01,28.28,25.0,30.4,1008.5458333333332,76.66666666666667,4.745833333333333,92.08333333333333,28.375,0.0
2013-05-02,28.2225,25.0,31.0,1008.5375,76.70833333333333,4.3125,81.66666666666667,23.333333333333332,0.0
2013-05-03,28.12291666666667,25.0,30.0,1009.0958333333333,80.16666666666667,3.8820833333333336,101.5,26.666666666666668,0.0
2013-05-04,28.29625,25.0,30.7,1009.4166666666666,78.66666666666667,4.02375,93.16666666666667,23.625,0.0
2013-05-05,29.028750000000002,27.6,31.2,1008.3249999999999,82.70833333333333,4.0249999999999995,100.83333333333333,29.166666666666668,0.0
2013-05-06,29.360416666666666,27.0,31.2,1007.6458333333334,81.58333333333333,4.995833333333334,110.0,41.333333333333336,0.14
2013-05-07,29.022399999999998,25.8,31.0,1007.68,79.68,5.008,114.8,41.6,0.0
2013-05-08,27.6775,25.0,30.0,1009.2125,86.66666666666667,2.7624999999999997,110.41666666666667,40.416666666666664,0.0
2013-05-09,28.84,27.0,31.0,1009.0833333333334,78.83333333333333,3.6791666666666667,107.91666666666667,36.666666666666664,0.0
2013-05-10,27.832083333333333,24.0,30.1,1008.7458333333334,78.83333333333333,4.27875,102.125,31.291666666666668,0.0
2013-05-11,28.048333333333332,25.0,30.0,1008.4166666666666,79.04166666666667,3.4791666666666665,122.91666666666667,18.416666666666668,0.0
2013-05-12,28.485,25.0,31.0,1009.9166666666666,80.5,3.4333333333333336,115.41666666666667,41.5,0.0
2013-05-13,27.813333333333333,26.0,31.0,1008.4166666666666,84.5,3.3249999999999997,125.41666666666667,21.833333333333332,0.0
2013-05-14,27.00208333333333,25.0,30.5,1007.75,85.70833333333333,2.4541666666666666,172.5,29.833333333333332,1.0
2013-05-15,27.086250000000003,25.0,29.2,1007.9583333333334,85.25,1.8166666666666667,162.08333333333334,23.958333333333332,0.0
2013-05-16,28.16541666666667,25.0,31.0,1008.875,81.66666666666667,2.1416666666666666,183.75,24.166666666666668,0.0
2013-05-17,28.31833333333333,26.0,31.0,1009.7208333333333,83.08333333333333,2.2429166666666664,106.125,28.75,0.0
2013-05-18,27.459166666666665,25.0,31.0,1009.9166666666666,83.66666666666667,1.929166666666667,147.08333333333334,28.333333333333332,0.0
2013-05-19,28.239583333333332,25.0,31.0,1008.7916666666666,80.45833333333333,2.0708333333333333,99.58333333333333,16.875,0.0
2013-05-20,27.87625,24.0,30.2,1009.5,83.16666666666667,2.25,170.0,36.75,0.0
2013-05-21,27.7325,24.9,31.0,1009.5,84.41666666666667,2.2583333333333333,95.0,30.625,0.0
